"laufnummer","id_modulgruppe","semester"
"B-LS-BZ 014","59","4"
"M-SLS-MSc BECS3","134",
"B-LS-MI 001","53",
"B-LS-MT 013","63",
"B-LS-MI 006","115","4"
"B-LS-MT 003","56",
"B-LS-KT 012","124",
"B-LS-CB 027","97",
"B-LS-KT 008","124",
"B-LS-MT 004","56",
"B-LS-CH 046","101",
"M-SLS-MSc 0010","134",
"B-LS-MT 015","63",
"B-LS-KT 004","101",
"B-LS-MI 008","115","4"
"B-LS-UT 008","105",
"B-LS-UT 019","105",
"B-LS-CH 004","144",
"B-LS-MT 024","63",
"B-LS-UT 027","63",
"B-LS-KT 022","90",
"B-LS-BZ 005","128",
"B-LS-MT 005","54",
"MAS-U-F 00 020","61",
"B-LS-UT 021","145",
"B-LS-KT 040","169",
"B-LS-MT 006","63",
"B-LS-BZ 002","112",
"M-SLS-MSc BECS2","134",
"B-LS-CB 024","91","4"
"M-SLS-MSc BP5","137",
"B-LS-UT 023","92",
"B-LS-BZ 036","107",
"B-LS-PT 005","112",
"B-LS-UT 022","105",
"B-LS-MT 007","63",
"B-LS-BZ 040","103",
"B-LS-CH 019","106",
"B-LS-UT 003","112",
"B-LS-MI 003","58",
"B-LS-UT 020","112",
"B-LS-BZ 033","107",
"B-LS-UT 027","112",
"B-LS-MT 008","63",
"B-LS-MT 002","56",
"B-LS-UT 030","99",
"B-LS-KT 030","105",
"B-LS-MT 009","63",
"B-LS-BZ 039","139",
"MAS-U-F 00 030","61",
"MAS-U-F 00 040","61",
"MAS-U-F 00 050","61",
"MAS-U-T 01 010","62",
"M-SLS-MSc 0000","134",
"M-SLS-MSc B1","137",
"M-SLS-MSc 0230","134",
"M-SLS-MSc 0230","135",
"M-SLS-MSc B1","135",
"M-SLS-MSc B1","136",
"M-SLS-MSc B1","138",
"M-SLS-MSc B1","134",
"M-SLS-MSc B2","137",
"M-SLS-MSc B2","135",
"M-SLS-MSc B2","136",
"M-SLS-MSc B3","138",
"M-SLS-MSc B2","134",
"M-SLS-MSc B3","135",
"M-SLS-MSc B3","137",
"M-SLS-MSc B3","134",
"M-SLS-MSc B4","138",
"M-SLS-MSc B3","136",
"M-SLS-MSc B4","135",
"M-SLS-MSc B4","136",
"M-SLS-MSc B4","137",
"M-SLS-MSc BECS1","134",
"M-SLS-MSc B4","134",
"M-SLS-MSc BECS4","137",
"M-SLS-MSc BECS3","136",
"M-SLS-MSc BP3","136",
"M-SLS-MSc BECS4","134",
"M-SLS-MSc BECS4","135",
"M-SLS-MSc BP3","137",
"M-SLS-MSc BP5","136",
"M-SLS-MSc BP6","137",
"M-SLS-MSc BP6","136",
"M-SLS-MSc C1","135",
"M-SLS-MSc C1","137",
"M-SLS-MSc C2","134",
"M-SLS-MSc D1","134",
"M-SLS-MSc D1","135",
"M-SLS-MSc D2","135",
"M-SLS-MSc D2","136",
"M-SLS-MSc D2","134",
"M-SLS-MSc D3","134",
"M-SLS-MSc D3","136",
"M-SLS-MSc D3","137",
"M-SLS-MSc 0020","134",
"M-SLS-MSc 0030","134",
"M-SLS-MSc 0050","135",
"M-SLS-MSc 0050","137",
"M-SLS-MSc 0050","134",
"M-SLS-MSc 0070","136",
"M-SLS-MSc 0100","136",
"M-SLS-MSc 0230","138",
"M-SLS-MSc BP4","137",
"M-SLS-MSc C1","134",
"M-SLS-MSc C3","135",
"M-SLS-MSc D2","138",
"B-LS-MI 014","65",
"B-LS-MI 017","68",
"B-LS-MI 008","106",
"B-LS-KT 039a","64",
"B-LS-MI 021","53",
"B-LS-CB 022","112",
"B-LS-MT 006","141",
"B-LS-MT 003","141",
"B-LS-CB 024","85",
"B-LS-MI 011","68",
"B-LS-MT 009","112",
"B-LS-MI 028","55",
"B-LS-MT 001","66",
"B-LS-MT 009","65",
"B-LS-CB 009","128",
"B-LS-MI 008","68",
"B-LS-MT 004","106",
"B-LS-KT 022","55",
"B-LS-CH 006","110",
"B-LS-KT 030","84",
"B-LS-CB 027","128",
"B-LS-KT 027","55",
"B-LS-CB 017","87",
"B-LS-MT 002","141",
"B-LS-CH 006","130","3"
"B-LS-KT 005","63",
"B-LS-MT 012","65",
"B-LS-KT 030","63",
"B-LS-CB 003","112",
"B-LS-CH 013","124",
"B-LS-KT 030","67",
"B-LS-CB 007","112",
"B-LS-MT 014","65",
"B-LS-CB 016","128",
"B-LS-KT 024","57",
"B-LS-KT 016","96",
"B-LS-KT 039a","77",
"B-LS-KT 039","77",
"B-LS-CB 007","128",
"B-LS-MT 017","141",
"B-LS-KT 005","130",
"B-LS-KT 005","84",
"B-LS-CB 019","84",
"B-LS-MT 019","65",
"B-LS-KT 030","130",
"B-LS-KT 005","97",
"B-LS-CB 008","128",
"B-LS-MT 004","141",
"B-LS-KT 030","97",
"B-LS-MI 004","126","5"
"B-LS-KT 009","113",
"B-LS-CH 007","110",
"B-LS-CB 004","84",
"B-LS-KT 023","55",
"B-LS-KT 036","60",
"B-LS-KT 024","131",
"B-LS-MT 001","56",
"B-LS-KT 002","57",
"B-LS-MT 020","65",
"B-LS-MT 025","65",
"B-LS-KT 007","101",
"B-LS-KT 039a","101",
"B-LS-CB 031","124",
"B-LS-CH 046","124",
"B-LS-KT 005","105",
"B-LS-CH 025","105",
"B-LS-KT 025","107",
"B-LS-KT 013","56",
"B-LS-KT 011","57",
"B-LS-KT 039a","123",
"B-LS-CB 020","127",
"B-LS-KT 029","131",
"M-SLS-MSc 0060","135",
"B-LS-KT 039a","90",
"B-LS-KT 017","60",
"B-LS-CB 030","127",
"B-LS-CH 003","110",
"B-LS-MI 009","65",
"B-LS-MI 012","54",
"B-LS-MT 005","65",
"B-LS-CB 029","161",
"M-SLS-MSc 0070","135",
"M-SLS-MSc 0080","135",
"M-SLS-MSc 0090","137",
"M-SLS-MSc 0090","135",
"M-SLS-MSc 0110","136",
"M-SLS-MSc 0100","135",
"M-SLS-MSc 0120","136",
"M-SLS-MSc 0130","137",
"M-SLS-MSc 0120","137",
"M-SLS-MSc 0140","135",
"M-SLS-MSc 0070","137",
"M-SLS-MSc 0140","137",
"M-SLS-MSc 0150","137",
"M-SLS-MSc 0160","138",
"M-SLS-MSc 0170","135",
"M-SLS-MSc 0180","138",
"M-SLS-MSc 0180","135",
"M-SLS-MSc 0190","138",
"M-SLS-MSc 0220","136",
"M-SLS-MSc BP1","137",
"M-SLS-MSc BP1","136",
"M-SLS-MSc BP2","136",
"M-SLS-MSc C2","135",
"M-SLS-MSc C2","137",
"M-SLS-MSc E6","138",
"M-SLS-MSc 0110","135",
"M-SLS-MSc 0130","135",
"M-SLS-MSc 0150","136",
"M-SLS-MSc 0210","136",
"M-SLS-MSc 0210","138",
"B-LS-CB 003","97",
"B-LS-CB 005","105",
"B-LS-MI 007","106",
"B-LS-CB 007","91",
"B-LS-KT 016","132","5"
"B-LS-KT 002a","100",
"B-LS-CH 007","67",
"B-LS-CB 003","84",
"B-LS-CB 001","126",
"B-LS-CB 006","105",
"B-LS-CB 010","127",
"B-LS-CH 040","67",
"B-LS-MI 001","106","3"
"B-LS-CB 002a","126",
"B-LS-MI 001","115",
"B-LS-MI 002a","83",
"B-LS-CB 014","105",
"B-LS-CB 001","97",
"B-LS-CB 001","84",
"B-LS-CH 007","105",
"B-LS-CB 004","97",
"B-LS-CH 020","105",
"B-LS-KT 036a","132",
"B-LS-CB 025","133",
"B-LS-CH 041","67",
"B-LS-KT 026","107",
"B-LS-CB 012","91",
"B-LS-CH 007","97",
"B-LS-PT 013","152",
"B-LS-MI 003","67",
"B-LS-KT 008","90",
"B-LS-CB 026","133",
"B-LS-KT 004","90",
"B-LS-KT 012","77",
"B-LS-KT 017","108",
"B-LS-KT 029a","107",
"B-LS-KT 029a","100",
"B-LS-MT 028","153",
"B-LS-MT 029","66",
"B-LS-KT 036a","114",
"B-LS-MT 030","58",
"M-SLS-MSc F1","136",
"M-SLS-MSc F2","136",
"M-SLS-MSc F3","136",
"B-LS-MI 001a","126",
"B-LS-KT 016a","114",
"B-LS-KT 016a","60",
"B-LS-MI 025","154",
"B-LS-CB 028","127",
"B-LS-KT 012","56",
"M-SLS-MSc F4","136",
"B-LS-KT 033","57",
"B-LS-KT 036a","108","3"
"B-LS-KT 028","101",
"B-LS-MI 026","154",
"B-LS-CB 010","94",
"B-LS-MT 007","141",
"B-LS-KT 039","123",
"B-LS-CH 026","128",
"B-LS-KT 033","113","4"
"B-LS-PT 005","85",
"B-LS-KT 036","96",
"B-LS-MI 002","126","3"
"B-LS-MI 005","67",
"B-LS-KT 025","81",
"B-LS-MI 007","67",
"B-LS-KT 014","96",
"B-LS-KT 023","161",
"B-LS-CH 005","144",
"B-LS-KT 036a","80","3"
"B-LS-CB 022","128",
"B-LS-KT 016a","108","4"
"B-LS-KT 014a","60",
"B-LS-CH 005","89",
"B-LS-CB 019","125",
"B-LS-KT 013","89",
"B-LS-CB 001","68",
"B-LS-KT 009","131",
"B-LS-CH 004","89",
"B-LS-PT 026","88",
"B-LS-CH 006","89",
"B-LS-CB 012","125",
"B-LS-KT 014a","70",
"B-LS-CH 017","144",
"B-LS-MI 006","151",
"B-LS-MI 020","67",
"B-LS-CB 003","105",
"B-LS-MT 006","125",
"B-LS-PT 004","104",
"B-LS-PT 005","104",
"B-LS-PT 013","104",
"B-LS-MI 002a","106","4"
"M-SLS-MSc E2","138",
"M-SLS-MSc E4","138",
"B-LS-KT 007","89",
"B-LS-CB 004","105",
"B-LS-MI 003","106",
"B-LS-CH 046","82",
"B-LS-MT 018","68",
"B-LS-MT 026","66",
"B-LS-KT 033","69",
"B-LS-KT 028","90",
"B-LS-KT 029a","113",
"B-LS-PT 017","87",
"B-LS-CB 019","91",
"B-LS-KT 002a","113",
"B-LS-MT 027","153",
"M-SMI-MSc 020","157",
"M-SMI-MSc 030","157",
"B-LS-CB 006","128",
"B-LS-CB 021","128",
"B-LS-UT 032","95",
"B-LS-CB 023","128",
"B-LS-KT 028","77",
"B-LS-KT 017","132",
"B-LS-KT 027","77",
"B-LS-KT 007","109",
"B-LS-KT 028","109",
"B-LS-CH 001","101",
"M-SMI-MSc 040","157",
"M-SMI-MSc 050","157",
"B-LS-KT 022","77",
"M-SMI-MSc 060","157",
"B-LS-MI 006","106",
"B-LS-KT 011","107",
"B-LS-KT 010","81",
"B-LS-BZ 046","152",
"B-LS-KT 014","108","3"
"B-LS-MT 011","152",
"B-LS-KT 011","81",
"B-LS-KT 029","81",
"B-LS-MI 005","115",
"B-LS-KT 022","123",
"B-LS-KT 009","81",
"B-LS-KT 027","123",
"B-LS-KT 003","81",
"B-LS-KT 013","124",
"B-LS-KT 017","80",
"M-SMI-MSc 070","157",
"B-LS-BZ 020","112",
"B-LS-CB 017","125",
"B-LS-CB 024","125",
"B-LS-PT 027","86",
"B-LS-KT 039","90",
"B-LS-KT 024","100","5"
"B-LS-KT 009","57",
"B-LS-KT 039","55",
"B-LS-CH 011","125",
"B-LS-CH 010","125",
"B-LS-KT 011","100",
"B-LS-MI 002","53",
"B-LS-KT 027","64",
"M-SMI-MSc 080","157",
"M-SMI-MSc T","158",
"B-LS-KT 025","100",
"B-LS-KT 012","141",
"B-LS-KT 016","70",
"B-LS-KT 010","100",
"B-LS-CB 013","127",
"B-LS-MI 004","67",
"B-LS-KT 013","77",
"B-LS-CH 005","79",
"B-LS-KT 017","96",
"B-LS-CH 010","79",
"B-LS-CH 011","79",
"B-LS-CH 004","79",
"B-LS-KT 029","57",
"B-LS-KT 008","82",
"B-LS-MI 001","90",
"B-LS-MI 002","151",
"B-LS-MI 002a","115",
"B-LS-CB 011","128",
"B-LS-MI 004","115",
"B-LS-CB 014","128",
"B-LS-CH 041","84",
"B-LS-MI 005","106",
"B-LS-KT 004","77",
"B-LS-MT 015","65",
"B-LS-MT 030","66",
"B-LS-UT 001","95",
"B-LS-CB 003","128",
"B-LS-CB 004","128",
"B-LS-CB 005","128",
"CAS-CRQ 001","166",
"CAS-CRQ 002","166",
"CAS-MD 002","167",
"CAS-QMP 001","168",
"CAS-QMP 002","168",
"M-SLS-MSc BP7","135",
"M-SLS-MSc C4","135",
"M-SLS-MSc C4","138",
"M-SLS-MSc C5","138",
"M-SLS-MSc C5","135",
"M-SLS-MSc E5","138",
"M-SLS-MSc F5","134",
"M-SLS-MSc F6","136",
"M-SMI-MSc 010","157",
"B-LS-KT 026","998",
"M-SLS-MSc B2","138",
"B-LS-KT 014","998",
"B-LS-BZ 019","92","4"
"B-LS-BZ 002","102",
"B-LS-KT 029","69",
"M-SLS-MSc D1","138",
"B-LS-KT 014a","998",
"B-LS-CB 002b","67",
"M-SLS-MSc 0000","136",
"B-LS-KT 006","998",
"M-SLS-MSc 0230","137",
"M-SLS-MSc B4a","137",
"B-LS-CB 002b","86",
"B-LS-KT 039","109",
"B-LS-MT 30","153",
"B-LS-CH 010","110",
"B-LS-CH 002","110",
"B-LS-CH 012","110",
"B-LS-CH 014","111",
"B-LS-CH 013","111",
"B-LS-MI 006","53",
"B-LS-KT 039","64",
"B-LS-KT 002","81",
"B-LS-CH 047","56",
"B-LS-CH 047","141",
"B-LS-KT 007","998",
"B-LS-KT 001","169",
"B-LS-KT 008","998",
"B-LS-KT 009","998",
"B-LS-KT 010","998",
"B-LS-KT 011","998",
"B-LS-KT 015","998",
"B-LS-KT 016","998",
"B-LS-KT 016a","998",
"B-LS-KT 016","80",
"B-LS-CH 039","67",
"B-LS-MI 005","53",
"B-LS-MI 001","151",
"B-LS-UT 30","99",
"B-LS-KT 017","998",
"B-LS-CH 012","127","4"
"B-LS-KT 022","998",
"B-LS-CB 002a","67",
"B-LS-KT 027","998",
"B-LS-KT 028","998",
"B-LS-KT 010","169",
"B-LS-KT 029","998",
"B-LS-KT 029a","998",
"B-LS-KT 030","998",
"CAS-MD 001","167",
"M-SLS-MSc 0000","135",
"M-SLS-MSc 0070","138",
"B-LS-KT 033","998",
"B-LS-KT 036","998",
"B-LS-KT 015","169",
"B-LS-KT 023","998",
"B-LS-KT 036a","998",
"B-LS-KT 039","998",
"B-LS-UT 023","94",
"B-LS-KT 039","101",
"B-LS-KT 009","100",
"B-LS-KT 001","998",
"B-LS-KT 002","998",
"B-LS-KT 006","69",
"B-LS-KT 002a","998",
"B-LS-KT 003","998",
"B-LS-KT 004","998",
"B-LS-KT 005","998",
"B-LS-KT 009","69",
"B-LS-KT 033","131",
"B-LS-CH 008","110",
"B-LS-KT 033","100",
"B-LS-CB 30","133",
"B-LS-KT 009","107","3"
"B-LS-MI 30","154",
"B-LS-KT 012","998",
"M-SLS-MSc 0000","137",
"B-LS-KT 013","998",
"B-LS-MI 004","53",
"B-LS-KT 024","998",
"B-LS-MI 007","53",
"B-LS-KT 025","998",
"M-SLS-MSc 1000","138",
"M-SLS-MSc 1000","134",
"M-SLS-MSc 1000","135",
"B-LS-KT 039a","998",
"B-LS-CH 001","89",
"B-LS-UT 005","89",
"M-SLS-MSc 1000","137",
"M-SLS-MSc D1","137",
"M-SLS-MSc 1000","136",
"M-SLS-MSc D3","138",
"M-SMI-MSc 090","157",
"M-SLS-MSc 0090","138",
"M-SLS-MSc 0100","137",
"M-SLS-MSc 0170","138",
"M-SLS-MSc 0220","135",
"M-SLS-MSc 0220","138",
"M-SLS-MSc 0230","136",
"M-SLS-MSc BP7","136",
"M-SLS-MSc B4a","136",
"M-SLS-MSc B4a","134",
"M-SLS-MSc B4a","135",
"M-SLS-MSc B4a","138",
"M-SLS-Msc C6","135",
"B-LS-BZ 006","144",
"B-LS-MT 009","127","5"
"B-LS-KT 040","998",
"B-LS-PT 001","87",
"B-LS-UT 003","95",
"B-LS-UT 019","92",
"B-LS-PT 014b","86",
"B-LS-UT 009","95",
"B-LS-BZ 028","102",
"B-LS-PT 015","86",
"B-LS-PT 021","130",
"B-LS-BZ 30","139",
"B-LS-UT 015","94",
"B-LS-UT 024","110",
"B-LS-KT 039a","109",
"B-LS-UT 021","92",
"B-LS-PT 009","87",
"B-LS-MI 008","53",
"B-LS-MI 010","53",
"B-LS-MI 011","54",
"B-LS-BZ 003","59",
"B-LS-BZ 031","146",
"B-LS-BZ 009","101",
"B-LS-CH 037","116",
"B-LS-BZ 001","140",
"B-LS-KT 012","109",
"B-LS-BZ 043","59",
"B-LS-BZ 009","89",
"B-LS-BZ 043","140",
"B-LS-BZ 003","140",
"B-LS-BZ 015","145",
"B-LS-BZ 016","115",
"B-LS-BZ 034","101",
"B-LS-BZ 024","103",
"B-LS-CH 001","124",
"B-LS-MT 011","124",
"B-LS-UT 018","94",
"B-LS-BZ 004","145",
"B-LS-KT 030","112",
"B-LS-BZ 017","109",
"B-LS-BZ 037","102",
"B-LS-BZ 019","104",
"B-LS-KT 025","113",
"B-LS-BZ 013","145",
"B-LS-BZ 020","104",
"B-LS-BZ 029","103",
"B-LS-BZ 023","146",
"B-LS-BZ 018","104",
"B-LS-PT 30","88",
"B-LS-BZ 004","54","5"
"B-LS-MT 007","125",
"B-LS-BZ 010","101",
"B-LS-PT 001","125",
"B-LS-KT 004","109",
"B-LS-MI 009","126",
"B-LS-KT 014","132",
"B-LS-PT 009","127",
"B-LS-BZ 028","112",
"B-LS-PT 012","87",
"B-LS-PT 022","86",
"B-LS-PT 004","110",
"B-LS-PT 012","127",
"B-LS-PT 009","91",
"B-LS-PT 010","112",
"B-LS-UT 024","92",
"B-LS-UT 012","94",
"B-LS-BZ 025","103",
"B-LS-BZ 016","145",
"B-LS-BZ 011","101",
"B-LS-BZ 003","89",
"B-LS-BZ 026","103",
"B-LS-BZ 021","104",
"B-LS-BZ 027","146",
"B-LS-BZ 030","146",
"B-LS-BZ 014","145",
"B-LS-PT 018","87",
"B-LS-KT 003","131",
"B-LS-BZ 040","115",
"B-LS-BZ 043","101",
"B-LS-PT 011","86",
"B-LS-UT 025","95",
"B-LS-UT 029","94",
"B-LS-BZ 007","102",
"B-LS-BZ 007","116",
"B-LS-BZ 008","102",
"B-LS-BZ 005","144",
"B-LS-CH 011","116",
"B-LS-CH 009","116",
"B-LS-CH 017","116",
"B-LS-CH 018","116",
"B-LS-KT 005","112",
"B-LS-UT 019","112","4"
"B-LS-BZ 001","109",
"B-LS-KT 011","113",
"B-LS-KT 008","115",
"B-LS-CH 015","111",
"B-LS-BZ 001","59",
"B-LS-KT 013","109",
"B-LS-CH 028","117",
"B-LS-KT 014","114",
"B-LS-PT 003","86",
"B-LS-PT 001","97",
"B-LS-PT 014a","127",
"B-LS-KT 010","131",
"B-LS-UT 020","95",
"B-LS-KT 026","113",
"B-LS-MT 003","125",
"B-LS-MT 023","68",
"B-LS-MI 009","54",
"B-LS-PT 024","88",
"B-LS-PT 019","130",
"B-LS-BZ 007","79",
"B-LS-BZ 022","79",
"B-LS-BZ 005","79",
"B-LS-BZ 005","97",
"B-LS-MI 002a","91",
"B-LS-BZ 013","124",
"B-LS-BZ 036","170",
"B-LS-BZ 044","152",
"B-LS-BZ 034","82",
"B-LS-UT 027","92",
"B-LS-BZ 020","92",
"B-LS-BZ 022","144",
"B-LS-UT 004","95",
"B-LS-BZ 041","139",
"B-LS-BZ 013","94",
"B-LS-UT 017","95",
"B-LS-UT 005","145",
"B-LS-UT 008","92",
"B-LS-BZ 043","79",
"B-LS-BZ 033","170",
"B-LS-PT 013","82",
"B-LS-CH 016","84",
"B-LS-PT 004","85",
"B-LS-BZ 017","124",
"B-LS-KT 022","64",
"B-LS-MT 001","82",
"B-LS-BZ 022","89",
"B-LS-UT 026","95",
"B-LS-CH 001","79",
"B-LS-BZ 022","124",
"B-LS-BZ 045","82",
"B-LS-BZ 010","124",
"B-LS-BZ 001","79",
"B-LS-CH 030","150",
"B-LS-CH 036","116",
"B-LS-CH 019","121",
"B-LS-CH 038","121",
"B-LS-CH 031","150",
"B-LS-CH 025","121",
"B-LS-CH 042","117",
"B-LS-MT 006","91",
"B-LS-MT 022","68",
"B-LS-CH 027","117",
"B-LS-CH 039","121",
"B-LS-CH 043","118",
"B-LS-CH 026","116",
"B-LS-CH 029","150",
"B-LS-CH 020","121",
"B-LS-CH 024","116",
"B-LS-KT 039a","55",
"B-LS-MT 007","84",
"B-LS-CH 044","118",
"B-LS-KT 002","69",
"B-LS-CH 023","121",
"B-LS-CH 022","116",
"B-LS-BZ 013","82",
"B-LS-CH 035","150",
"B-LS-CH 034","150",
"B-LS-BZ 045","117",
"B-LS-CH 040","84",
"B-LS-CH 016","121",
"B-LS-CH 033","117",
"B-LS-MI 016","54",
"B-LS-MI 017","54",
"B-LS-MI 018","54",
"B-LS-MI 019","54",
"B-LS-MI 020","54",
"B-LS-MI 022","54",
"B-LS-MI 023","58",
"B-LS-MI 024","54",
"B-LS-MI 007","83",
"B-LS-MT 003","91","4"
"B-LS-BZ 015","152",
"B-LS-PT 010","85",
"B-LS-KT 024","69",
"B-LS-KT 005","67",
"B-LS-MT 013","65",
"B-LS-PT 002","87",
"B-LS-MT 024","65",
"B-LS-UT 005","79",
"B-LS-KT 026","65",
"B-LS-KT 023","64",
"B-LS-KT 036","70",
"B-LS-MI 001","83",
"B-LS-KT 014","80",
"B-LS-BZ 040","54",
"B-LS-KT 011","69",
"B-LS-CH 040","150",
"B-LS-CH 032","117",
"B-LS-CH 039","84",
"B-LS-MT 009","84",
"B-LS-KT 013","141",
"B-LS-CH 041","116",
"B-LS-BZ 027","84",
"B-LS-MI 013","54",
"B-LS-MI 014","54",
"B-LS-MI 005","83","4"
"B-LS-UT 002","92",
"B-LS-MT 007","91","3"
"B-LS-MT 004","77",
"B-LS-MT 021","68",
"B-LS-UT 002","84",
"B-LS-BZ 006","82",
"B-LS-PT 006","87",
"B-LS-PT 007","87",
"B-LS-BZ 043","92",
"B-LS-PT 021","87",
"B-LS-MI 006","83",
"B-LS-PT 008","85",
"B-LS-UT 008","84",
"B-LS-UT 003","84",
"B-LS-PT 019","85",
"B-LS-CH 30","118",
"B-LS-UT 014","95",
"B-LS-UT 016","95",
"B-LS-BZ 003","79",
"B-LS-MT 006","77",
"B-LS-MT 008","68",
"B-LS-UT 006","95",
"B-LS-UT 007","95",
"B-LS-UT 011","95",
"B-LS-UT 013","95",
"MAS-U-F 00 010","61",
"M-SLS-MSc 0040","134",
"M-SLS-MSc 0050","136",
"M-SLS-MSc 0200","138",
"M-SLS-MSc C3","134",
"M-SLS-MSc D1","136",
"M-SLS-MSc D2","137",
"M-SLS-MSc D3","135",
"M-SLS-MSc E1","138",
"B-LS-UT 031","99",
"B-LS-CH 013","101",
"B-LS-PT 010","146",
"B-LS-UT 028","94",
"B-LS-UT 022","94",
